Recipe, Recipe Description, Contintent, Country, Type of meal, Vegetarian or Vegan,
Spaghetti Carbonara, Pasta with a sauce of eggs/ cheese/ bacon/ and black pepper,Europe,Italy,Main,Vegetarian
Chicken Tikka Masala, Chicken Tikka Masala is a dish of chunks of roasted marinated chicken in a spiced curry sauce,Asia, India, Main,Neither
Chocolate Cake, Chocolate Cake is a cake flavored with melted chocolate/cocoa powder or both,North America,USA,Dessert,Vegetarian
Egg Salad, Egg Salad is a dish made primarily of chopped hard-boiled eggs and mayonnaise,Europe,Britain,Main,Vegetarian
Fried Rice, Fried Rice is a dish of cooked rice that has been stir-fried in a wok or a frying pan and is usually mixed with other ingredients such as eggs/vegetables/ seafood/ or meat,Asia,China,Main,Possibly
Beef Wellington, Beef Wellington is a preparation of fillet steak coated with pâté and duxelles/ which is then wrapped in puff pastry and baked,Europe,Britain,Main,Neither
Paella, Paella is a Spanish rice dish originally from Valencia. Paella is usually garnished with vegetables/chicken and seafood,Europe,Spain,Main,Neither
Hamburger, Hamburger is a sandwich consisting of one or more cooked patties of ground meat/ usually beef/ placed inside a sliced bread roll or bun,North America,USA,Main,Neither
Lasagna, Lasagna is a dish made of stacked layers of thin flat pasta alternating with fillings such as ragù/ bechamel/ and cheese,Europe,Italy,Main,Possibly
Tacos, Tacos are a traditional Mexican dish consisting of a small hand-sized corn or wheat tortilla topped with a filling,North America,Mexico,Main,Possibly
Chicken Noodle Soup, Chicken Noodle Soup is a soup made from chicken/ vegetables/ and noodles,North America,USA,Main,Neither
Chicken Parmesan, Chicken Parmesan is a dish consisting of breaded chicken breast covered in tomato sauce and mozzarella/ parmesan cheese,Europe,Italy,Main,Neither
Creme Brulee, Creme Brulee is a dessert consisting of a rich custard base topped with a contrasting layer of hard caramel,Europe, France, Dessert,Vegetarian
Macarons, Macarons are sweet meringue-based confection made with egg white/ icing sugar/ granulated sugar/ almond powder/ and food coloring,Europe,France,Dessert,Vegetarian
Miso Soup, Miso Soup is a traditional Japanese soup consisting of a stock called dashi into which softened miso paste is mixed,Asia,Japan,Side,Vegetarian
Spaghetti Bolognese, Spaghetti Bolognese is a meat-based sauce in Italian cuisine/ typically made with ground beef/ tomatoes/ and spices,Europe,Italy,Main,Neither
Sushi, Sushi is a Japanese dish of prepared vinegared rice/ usually with some sugar and salt/ accompanying a variety of ingredients/ such as seafood/ vegetables/ and occasionally tropical fruits,Asia,Japan,Main,Neither
Pad Thai, Pad Thai is a stir-fried rice noodle dish commonly served as a street food and at casual local eateries in Thailand,Asia,Thailand,Main,Neither
Peking Duck, Peking Duck is a dish from Beijing that has been prepared since the imperial era/ and is now considered one of China's national foods,Asia,China,Main,Neither
Poutine, Poutine is a dish that includes french fries and cheese curds topped with a brown gravy,Canada,Canada,Main,Neither
Ramen, Ramen is a Japanese noodle soup dish/ and consists of Chinese-style wheat noodles served in a meat- or fish-based broth/ often flavored with soy sauce or miso/ and uses toppings such as sliced pork,Asia,Japan,Main,Possibly
Tiramisu, Tiramisu is a coffee-flavored Italian dessert/ and is made of ladyfingers dipped in coffee/ layered with a whipped mixture of eggs/ sugar/ and mascarpone cheese/ flavored with cocoa,Europe,Italy,Dessert,Vegetarian
